time,cpu%,mem%
20200923-175512,0.0,0.691612843228
20200923-175513,30.0,0.691612843228
20200923-175514,67.9,0.691612843228
20200923-175515,85.9,0.691612843228
20200923-175516,63.9,0.691612843228
20200923-175517,95.9,0.691612843228
20200923-175518,85.0,0.691612843228
20200923-175519,100.9,0.691612843228
20200923-175520,84.9,0.691612843228
20200923-175521,88.9,0.691612843228
20200923-175522,93.0,0.691612843228
20200923-175523,100.9,0.691612843228
20200923-175524,101.9,0.691612843228
20200923-175525,80.9,0.691612843228
20200923-175526,100.9,0.691612843228
20200923-175527,100.9,0.691612843228
20200923-175528,64.9,0.691612843228
20200923-175529,38.9,0.691612843228
20200923-175530,50.9,0.691612843228
20200923-175531,12.0,0.691612843228
20200923-175532,22.0,0.691612843228
20200923-175533,23.0,0.691612843228
20200923-175534,45.9,0.691612843228
20200923-175535,42.9,0.691612843228
20200923-175536,49.9,0.691612843228
20200923-175537,74.0,0.691612843228
20200923-175538,101.9,0.691612843228
20200923-175539,99.9,0.691612843228
20200923-175540,99.9,0.691612843228
20200923-175541,98.0,0.691612843228
20200923-175542,39.0,0.691612843228
20200923-175543,32.0,0.691612843228
20200923-175544,9.0,0.691612843228
20200923-175545,23.0,0.691612843228
20200923-175546,47.9,0.691612843228
20200923-175547,41.0,0.691612843228
20200923-175548,38.9,0.691612843228
20200923-175549,42.9,0.691612843228
20200923-175550,65.9,0.691612843228
20200923-175551,74.9,0.691612843228
20200923-175552,98.9,0.691612843228
20200923-175553,99.9,0.691612843228
20200923-175554,100.9,0.691612843228
20200923-175555,82.9,0.691612843228
20200923-175556,95.9,0.691612843228
20200923-175557,95.9,0.691612843228
20200923-175558,100.9,0.691612843228
20200923-175559,100.9,0.691612843228
20200923-175600,50.9,0.691612843228
20200923-175601,37.0,0.691612843228
20200923-175602,71.0,0.691612843228
20200923-175603,101.9,0.691612843228
20200923-175604,95.9,0.691612843228
20200923-175605,15.0,0.691612843228
20200923-175606,86.9,0.691612843228
20200923-175607,45.9,0.691612843228
20200923-175608,29.0,0.691612843228
20200923-175609,89.9,0.691612843228
20200923-175610,92.9,0.691612843228
20200923-175611,6.0,0.691612843228
20200923-175612,34.0,0.691612843228
20200923-175613,72.9,0.691612843228
20200923-175614,100.9,0.691612843228
20200923-175615,99.9,0.691612843228
20200923-175616,100.9,0.691612843228
20200923-175617,101.0,0.691612843228
20200923-175618,100.9,0.691612843228
20200923-175619,101.9,0.693245230585
20200923-175620,100.9,0.693245230585
20200923-175621,100.9,0.693245230585
20200923-175622,102.0,0.693245230585
20200923-175623,100.9,0.693245230585
20200923-175624,101.9,0.693245230585
20200923-175625,30.0,0.693245230585
20200923-175626,34.9,0.693245230585
20200923-175627,75.8,0.693245230585
20200923-175628,88.9,0.693245230585
20200923-175629,48.9,0.693245230585
20200923-175630,24.0,0.693245230585
20200923-175631,101.8,0.693245230585
20200923-175632,100.9,0.693245230585
20200923-175633,100.9,0.693245230585
20200923-175634,100.9,0.693245230585
20200923-175635,101.0,0.693245230585
